BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200504,10,1930,200504,10,1944,1187681,5443370,OKLAHOMA,40.0,2005,April,Tornado,C,109,OKLAHOMA,OUN,10-APR-05 19:30:00,CST,10-APR-05 19:44:00,0,0,0,0,150K,,AMATEUR RADIO,,,,,F1,5.0,75.0,,,,,5.0,WSW,NEWALLA,5.0,WSW,NEWALLA,35.38333,-97.23333,35.45,-97.21667,,"The tornado touched down just inside the Oklahoma City city limits near SE 74th Street and Marianne Drive. It moved north-northeast for about 5 miles before lifting just inside or near the Harrah city limits, southwest of Reno Avenue and Peebly Road. The tornado first caused damage to an area of trees approximately 100 yards long, near SE 74th and Marianne Drive, west of Triple XXX Road. A trailer and metal barns were then damaged near SE 53rd Street and Triple XXX Road. A barn roof was later damaged near SE 29th and Triple XXX Road. As the tornado continued along its path, it downed many power lines and poles along SE 15th Street west of Peebly Road. The tornado caused the worst damage at the Hasel Farm near SE 15th Street and Peebly Road before lifting. The farm sustained damage to a barn, numerous trees were damaged or downed. Fences were also damaged when the trees fell on them.",PDS
200803,31,23,200803,31,23,13992,90194,OKLAHOMA,40.0,2008,March,Tornado,C,109,OKLAHOMA,OUN,31-MAR-08 00:23:00,CST-6,31-MAR-08 00:23:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,0.2,20.0,,,,,9.0,W,EDMOND,9.0,W,EDMOND,35.65,-97.6403,35.65,-97.6403,"A powerful storm system moved toward the plains during the day on the 30th. A area of low pressure had developed over northwest Oklahoma. A dry line was located south of the low. Severe thunderstorms developed on the dry line in western Oklahoma by late afternoon. The supercell thunderstorms produced hail larger than baseballs in some areas, with thunderstorm wind gusts to 60 mph also reported. These thunderstorms bacame more intense as the moved northeast through the evening into central and northern Oklahoma. These thunderstorms produced very large hail, and eventually a few tornadoes. One brief tornado occurred near Albert, with other tornadoes affecting the northern parts of the Oklahoma metro area. One tornado in Oklahoma City produced fairly widespread damage, with several  homes sustaining moderate damage. Wind damage to trees, power lines, and some structures was also reported in parts of Logan county. Monetary damages were estimated.",The brief tornado was reported by a media storm chaser and estimated to be about one-quarter mile southwest of Edmond Road and Rockwell Avenue. The tornado produced no known damage.,CSV
200803,31,39,200803,31,45,13992,90197,OKLAHOMA,40.0,2008,March,Tornado,C,109,OKLAHOMA,OUN,31-MAR-08 00:39:00,CST-6,31-MAR-08 00:45:00,0,0,0,0,450.00K,0.00K,NWS Storm Survey,,,,,EF1,3.5,100.0,,,,,4.0,W,EDMOND,3.0,NNW,EDMOND,35.65,-97.5512,35.6834,-97.497,"A powerful storm system moved toward the plains during the day on the 30th. A area of low pressure had developed over northwest Oklahoma. A dry line was located south of the low. Severe thunderstorms developed on the dry line in western Oklahoma by late afternoon. The supercell thunderstorms produced hail larger than baseballs in some areas, with thunderstorm wind gusts to 60 mph also reported. These thunderstorms bacame more intense as the moved northeast through the evening into central and northern Oklahoma. These thunderstorms produced very large hail, and eventually a few tornadoes. One brief tornado occurred near Albert, with other tornadoes affecting the northern parts of the Oklahoma metro area. One tornado in Oklahoma City produced fairly widespread damage, with several  homes sustaining moderate damage. Wind damage to trees, power lines, and some structures was also reported in parts of Logan county. Monetary damages were estimated.","From the official National Weather Service damage survey, the tornado appeared to have developed near the intersection of NW 178th Street and Pennsylvania Avenue. The tornado caused most of its damage in the Valencia neighborhood. It was here that many homes sustained roof, window, garage door, and fence damage. One home sustained especially heavy damage, with a large portion of the roof being lost and extensive damage to the inside of the home. The tornado continued northeast and appeared to have dissipated just northeast of the subdivision, where some tree damage was noted. After a gap, additional damage was observed near the intersection of NW 192nd Street and Western Avenue, where several large power transmission poles were blown down, and some fence damage was also observed. While there was not a continuous damage path between the two damage sites, they do appear to be in line with the storm's path. A storm chaser also observed this tornado as far northeast as at least Covell Road between Santa Fe Avenue and Kelley Avenue where it is believed to have dissipated. Monetary damages were estimated.",CSV
200805,7,1622,200805,7,1626,18161,106276,OKLAHOMA,40.0,2008,May,Tornado,C,109,OKLAHOMA,OUN,07-MAY-08 16:22:00,CST-6,07-MAY-08 16:26:00,0,0,0,0,50.00K,0.00K,NWS Storm Survey,,,,,EF0,2.8,20.0,,,,,5.0,NNW,THE VILLAGE,3.0,NNE,THE VILLAGE,35.6369,-97.5841,35.6101,-97.5296,"A strong upper level low pressure system moved into southwest Oklahoma, and continued moving east throughout the day. Extremely strong lift ahead of the storm system and abundant moisture allowed for widespread showers and thunderstorms to develop over much of Oklahoma. The better chances for severe convection was located along and south of a stationary boundary that setup near Interstate 44. Severe thunderstorms developed during the afternoon hours south of the boundary, with large hail, flash flooding, and tornadoes reported. Several tornadoes were reported in the Oklahoma City metro area during the evening rush hour, with damage reported from Yukon through the northern portion of the city. Other tornadoes were reported south of the city, with damage also reported in this area. The slow movement of the precipitation quickly added up, with widespread amounts of at least two to four inches of rainfall. Flash flooding became a concern as the afternoon progressed, with several reports around central Oklahoma of roads being closed. The upper level storm system moved east during the evening, with the precipitation moving east as well. Monetary damages were estimated.","The tornado developed near NW 164th and May Avenue. Scattered tree and sign damage was reported as the tornado moved southeast toward Memorial Road and Western Avenue. Roof damage was also observed at a residence near NW 150th and Pennsylvania Avenue, and at an apartment complex northeast of Pennsylvania Avenue and Memorial Road. Monetary damages were estimated.",CSV
200805,7,1602,200805,7,1609,18161,107431,OKLAHOMA,40.0,2008,May,Tornado,C,109,OKLAHOMA,OUN,07-MAY-08 16:02:00,CST-6,07-MAY-08 16:09:00,0,1,0,0,100.00K,0.00K,NWS Storm Survey,,,,,EF1,4.1,120.0,,,,,2.0,WNW,BETHANY,1.0,ENE,WARR ACRES,35.5183,-97.6646,35.5255,-97.6036,"A strong upper level low pressure system moved into southwest Oklahoma, and continued moving east throughout the day. Extremely strong lift ahead of the storm system and abundant moisture allowed for widespread showers and thunderstorms to develop over much of Oklahoma. The better chances for severe convection was located along and south of a stationary boundary that setup near Interstate 44. Severe thunderstorms developed during the afternoon hours south of the boundary, with large hail, flash flooding, and tornadoes reported. Several tornadoes were reported in the Oklahoma City metro area during the evening rush hour, with damage reported from Yukon through the northern portion of the city. Other tornadoes were reported south of the city, with damage also reported in this area. The slow movement of the precipitation quickly added up, with widespread amounts of at least two to four inches of rainfall. Flash flooding became a concern as the afternoon progressed, with several reports around central Oklahoma of roads being closed. The upper level storm system moved east during the evening, with the precipitation moving east as well. Monetary damages were estimated.","The tornado continued to move east-northeast from Canadian county. The tornado continued from the north side of Lake Overholser and crossed NW 39th street, damaging several bleachers next to the baseball field. Damage to trees was also noted at this location, with one tree falling on a gas plant. About 50 residents had to be evacuated due to the gas leak. An apartment complex was sustained some damage near NW 50th and Grove streets. Tree damage continued along the tornadoes path until it finally lifted near NW 60th and Meridian Avenue. One indirect injury was reported with the tornado. A Bethany woman broke her leg while she was running toward her storm shelter. No other injuries were reported. Monetary damages were estimated.",CSV
200805,1,1829,200805,1,1829,15133,107428,OKLAHOMA,40.0,2008,May,Tornado,C,109,OKLAHOMA,OUN,01-MAY-08 18:29:00,CST-6,01-MAY-08 18:29:00,0,0,0,0,15.00K,0.00K,Broadcast Media,,,,,EF0,0.1,20.0,,,,,1.0,NW,CHOCTAW,1.0,NW,CHOCTAW,35.5002,-97.2826,35.5002,-97.2826,"A dry line moved east into central Oklahoma during the afternoon before stalling just east of Interstate 35.  Explosive thunderstorm development occurred east of the dry line over central Oklahoma by dinnertime. The thunderstorms almost immediately became severe as they moved toward the east and northeast. Hail larger than baseballs fell over southern sides of the Oklahoma City metropolitan area, with reports of large hail into Lincoln and Payne counties. Some damage was reported with the large hail, especially in the Midwest City area. A  brief tornado was reported near southeast Oklahoma City, causing minor damage. Another tornado was reported in Payne county near Glencoe. The thunderstorms moved into eastern Oklahoma by mid-evening, but additional thunderstorms has already begun to develop over north-central Oklahoma. Monetary damages were estimated.","Local broadcast media reported a brief touchdown near NE 36th and Henney road. The tornado produced minor damage to an outbuilding, damaging its roof and ripping metal siding off. Tree damage was also reported. Monetary damages were estimated.",CSV
200705,7,132,200705,7,133,5748,35822,OKLAHOMA,40.0,2007,May,Tornado,C,109,OKLAHOMA,OUN,07-MAY-07 01:32:00,CST-6,07-MAY-07 01:33:00,0,0,0,0,25.00K,0.00K,NWS Storm Survey,,,,,EF0,1.5,30.0,,,,,2.0,WNW,FOREST PARK,2.0,NNW,FOREST PARK,35.5093,-97.4776,35.5219,-97.4611,"Thunderstorms began early in the morning on the 6th, continued most of the day and into the early morning hours of the 7th. An upper level low pressure remained anchored over Colorado during this time period. Surface low pressure was located over southeast Colorado, with a dryline extending south along the Oklahoma and Texas panhandle border. Outflow boundaries were also present from previous thunderstorm activity. These boundaries were important in the formation of thunderstorms throughout the day. Moisture was in abundance that day, along with very strong instability. Wind shear remained quite favorable for supercell thunderstorms. Most of the thunderstorms began over the northwest half of Oklahoma, but moved south and east into the morning and afternoon hours of the 7th.  Large hail, high winds, and tornadoes were common, with flooding rains also present.  One small supercell thunderstorm developed east of the main thunderstorm area during the evening and produced two small tornadoes as it moved to the north. Two other tornadoes occurred in the early morning hours as thunderstorms moving northeast into central Oklahoma interacted with gust front boundaries from previous thunderstorms.","This tornado occurred within the city limits of Oklahoma City.  A narrow path of considerable tree damage was found from just northwest of the intersection of NE 36th Street and Martin Luther King Avenue to just east of the intersection of Interstate 35 and NE 50th Street, including a swath about 30 yards wide across Lincoln Park Golf Course.  Damage consisted of numerous small to medium branches broken off trees, as well as numerous large rotted branches. A number of small trees in wet soil were also pushed over along this path.  Minor shingle damage was noted to a home just east of I-35 and NE 50th Street, and minor gutter damage was noted to a large metal building just to the southwest of the house. A couple of wooden fences were pushed over and a small canopy was torn near the start of the path. However other structures in or near the path showed little discernible damage. Monetary damages were estimated.",CSV
200010,22,1814,200010,22,1822,1104176,5161325,OKLAHOMA,40.0,2000,October,Tornado,C,109,OKLAHOMA,OUN,22-OCT-00 18:14:00,CST,22-OCT-00 18:22:00,0,0,0,0,10K,,STORM CHASER,,,,,F0,3.0,25.0,,,,,4.0,SSE,OKLAHOMA CITY,4.0,SSE,OKLAHOMA CITY,35.43333,-97.5,35.48333,-97.51667,"Significant flash flooding and 6 tornadoes, mostly small, weak and short-lived, developed on the 22nd, across a 35 mile wide band from near Frederick in southwest Oklahoma northeastward to near Chandler in central Oklahoma. Rainfall amounts in this band averaged 4 to 8 inches. Anadarko in Caddo County, received 10 inches, which classifies as a 250-year rain event. Record-like flooding developed in some areas, particularly across southern Caddo and Grady Counties, from near Apache and Anadarko to near Chickasha.","This tornado formed across southern Oklahoma City near the intersection of Eastern and SE 22nd. Minor damage to buildings, trees, and power lines, consistent with an F0 rating, occurred over a narrow, 3 mile path.",PDC
200010,22,1802,200010,22,1807,1104176,5161324,OKLAHOMA,40.0,2000,October,Tornado,C,109,OKLAHOMA,OUN,22-OCT-00 18:02:00,CST,22-OCT-00 18:07:00,0,0,0,0,120K,,NWS STORM SURVEY,,,,,F1,1.5,40.0,,,,,7.0,S,OKLAHOMA CITY,7.0,S,OKLAHOMA CITY,35.38333,-97.53333,35.4,-97.5,"Significant flash flooding and 6 tornadoes, mostly small, weak and short-lived, developed on the 22nd, across a 35 mile wide band from near Frederick in southwest Oklahoma northeastward to near Chandler in central Oklahoma. Rainfall amounts in this band averaged 4 to 8 inches. Anadarko in Caddo County, received 10 inches, which classifies as a 250-year rain event. Record-like flooding developed in some areas, particularly across southern Caddo and Grady Counties, from near Apache and Anadarko to near Chickasha.","This tornado, rated F1, formed across southern portions of Oklahoma City near the intersection of Interstate 35 and Interstate 240, then moved northward for 1.5 miles before dissipating. Minor structural damage, consisting of 2 broken windows and an air conditioning unit blown off the roof, occurred to the Montgomery Ward Auto Express Store at Crossroads Mall. In addition, roof damage was sustained to several offices and businesses, and numerous homes in the town of Valley Brook.",PDC
200902,10,1453,200902,10,1503,25020,154256,OKLAHOMA,40.0,2009,February,Tornado,C,109,OKLAHOMA,OUN,10-FEB-09 14:53:00,CST-6,10-FEB-09 15:03:00,0,4,0,0,,0.00K,NWS Storm Survey,,,,,EF2,5.1,250.0,OUN,OK,83.0,LOGAN,3.0,WNW,EDMOND,5.0,N,EDMOND,35.6631,-97.5309,35.7254,-97.4823,"Thunderstorms developed early in the afternoon, from near the Lawton area, northeast toward the Oklahoma metro area. Thunderstorms became severe relatively quickly as they moved through Caddo and Grady counties, and began to show signs of rotation as they moved toward western Oklahoma City. One supercell thunderstorm spawned several tornadoes as it moved through western and northern Oklahoma. Sporadic damage was reported along its path, some of it significant as it moved through northern Oklahoma county and southern Logan county. Other supercells developed near the same areas of Caddo and Grady counties and moved northeast. Some locations received several rounds of very large hail through the afternoon. ||Later in the afternoon, a second area of thunderstorms developed over northern Texas. Several supercell thunderstorms developed and moved northeast toward the Red River. One supercell thunderstorm moved northeast over Clay county and northwest Montague county. A tornado developed as it moved into Jefferson county near the Red River. It continued northeast through western Love county and into Carter County. Significant damage was reported in and around the Lone Grove area and over the far north sides of Ardmore. There were eight fatalities in and around Lone Grove. The tornado crossed Interstate 35 and eventually crossed into southern Murray county. Wind damage was reported in Coal and Atoka counties. Minor injuries were reported with the Atoka county thunderstorms. Monetary damages were estimated.","The tornado touched down near the intersection of 192nd and Western.  This tornado tracked to the northeast, damaging a number of homes���some severely���and trees along its path. Most of the severe damage started around Kelly Ave and Sorghum Mill Rd and continued until the end of the tornado���s path. Several homes in the Oak Tree development lost significant portions of their roof. Several homes also has large portions destroyed due to large garages and rooms above the garages.  This tornado continued into Logan County. In all, over 200 homes were damaged or destroyed. Over 28,500 people were without power at the its peak. Luckily, only four minor injuries were reported. Monetary damage estimates were not available.",CSV
